id,url,title,price,price_per_m2,rooms,area,floor,total_floors,address,district,city
1007073879,https://krisha.kz/a/show/1007073879,4-комнатная квартира · 76.2 м² · 2/9 этаж,29999999,393701,4,76.2,2,9,"Сарыарка р-н, Желтоксан 12",Сарыарка р-н,Астана
1008880858,https://krisha.kz/a/show/1008880858,2-комнатная квартира · 70 м² · 3/5 этаж,30000000,428571,2,70,3,5,"мкр. Алтын орда, Батыс 2 микрорайон 32 К2 — Астана",мкр. Алтын орда,Актобе
1009680582,https://krisha.kz/a/show/1009680582,3-комнатная квартира · 80 м² · 8/9 этаж,30800000,385000,3,80,8,9,Султан Бейбарыс 437,Султан Бейбарыс 437,Атырау
1007248394,https://krisha.kz/a/show/1007248394,3-комнатная квартира · 145.2 м² · 3/6 этаж,57900000,398760,3,145.2,3,6,Жален Тулепова 86В,Жален Тулепова 86В,Атырау
1005898421,https://krisha.kz/a/show/1005898421,2-комнатная квартира · 72.34 м² · 10/12 этаж,37000000,511474,2,72.34,10,12,"Алатауский р-н, мкр Акбулак, Момышулы 100",Алатауский р-н,Алматы
1004678423,https://krisha.kz/a/show/1004678423,3-комнатная квартира · 85 м² · 4/9 этаж,38450000,452353,3,85,4,9,"Сарыарка р-н, Б.Сокпакбаева 1 — Сарыарка/ Джангильдина",Сарыарка р-н,Астана
1009446474,https://krisha.kz/a/show/1009446474,3-комнатная квартира · 75 м² · 6/16 этаж,87000000,1160000,3,75,6,16,"Ауэзовский р-н, Утеген батыра",Ауэзовский р-н,Алматы
1007210507,https://krisha.kz/a/show/1007210507,3-комнатная квартира · 143 м² · 17/20 этаж,87000000,608392,3,143,17,20,"Алмалинский р-н, Брусиловского 163",Алмалинский р-н,Алматы
1005073477,https://krisha.kz/a/show/1005073477,2-комнатная квартира · 72 м² · 2/12 этаж,50500000,701389,2,72,2,12,"Ауэзовский р-н, Тастак-1 м-н — Ташкенская Емцова",Ауэзовский р-н,Алматы
1003019084,https://krisha.kz/a/show/1003019084,2-комнатная квартира · 52.94 м² · 5/14 этаж,42000000,793351,2,52.94,5,14,"Есильский р-н, Мангилик Ел 63/1",Есильский р-н,Астана
1009998935,https://krisha.kz/a/show/1009998935,1-комнатная квартира · 28.92 м²,29104135,1006367,1,28.92,,,"Турксибский р-н, Кайрат микрорайон 716/16",Турксибский р-н,Алматы
693146383,https://krisha.kz/a/show/693146383,2-комнатная квартира · 87.4 м²,52440000,600000,2,87.4,,,"Казыбек би р-н, Ержанова 63/2",Казыбек би р-н,Караганда
686668100,https://krisha.kz/a/show/686668100,2-комнатная квартира · 59.93 м²,23972000,400000,2,59.93,,,"Абайский р-н, Толеметова 106/3",Абайский р-н,Шымкент
1010111056,https://krisha.kz/a/show/1010111056,3-комнатная квартира · 116 м²,51624450,445038,3,116,,,Наурызбай Батыра 138,Наурызбай Батыра 138,Кокшетау
1010109022,https://krisha.kz/a/show/1010109022,2-комнатная квартира · 48.66 м²,21653700,445000,2,48.66,,,Наурызбай Батыра 138,Наурызбай Батыра 138,Кокшетау
667684902,https://krisha.kz/a/show/667684902,3-комнатная квартира · 141.4 м²,94738000,670000,3,141.4,,,"Бостандыкский р-н, мкр Ерменсай, Ушкемпирова 42",Бостандыкский р-н,Алматы
1010163954,https://krisha.kz/a/show/1010163954,2-комнатная квартира · 60 м² · 4/9 этаж,58000000,966667,2,60,4,9,"Алмалинский р-н, Ауэзова — Толе би - Ауэзова",Алмалинский р-н,Алматы
1009502559,https://krisha.kz/a/show/1009502559,2-комнатная квартира · 47 м² · 2/12 этаж,37000000,787234,2,47,2,12,Аэропортная 58/1 — Кульджинский тракт-Бухтарминская,Аэропортная 58/1 — Кульджинский тракт-Бухтарминская,Алматы
1006162248,https://krisha.kz/a/show/1006162248,1-комнатная квартира · 40.9 м² · 9/9 этаж,25000000,611247,1,40.9,9,9,"Алатауский р-н, Нуркент",Алатауский р-н,Алматы
697180692,https://krisha.kz/a/show/697180692,3-комнатная квартира · 71 м² · 9/10 этаж,59000000,830986,3,71,9,10,"Есильский р-н, Сыганак 13 — Первая линия",Есильский р-н,Астана
1009735185,https://krisha.kz/a/show/1009735185,2-комнатная квартира · 63 м² · 2/12 этаж,39900000,633333,2,63,2,12,"Нура р-н, Улы Дала 38/1 — ДЕШЕВЛЕ ЧЕМ У ЗАСТРОЙЩИКА",Нура р-н,Астана
1009720679,https://krisha.kz/a/show/1009720679,2-комнатная квартира · 61.3 м² · 11/12 этаж,37500000,611746,2,61.3,11,12,"Алатауский р-н, мкр Алгабас, Омарова 7",Алатауский р-н,Алматы
1008993954,https://krisha.kz/a/show/1008993954,1-комнатная квартира · 40 м² · 4/9 этаж,31500000,787500,1,40,4,9,"Ауэзовский р-н, мкр Жетысу-1",Ауэзовский р-н,Алматы
1007759459,https://krisha.kz/a/show/1007759459,2-комнатная квартира · 47 м² · 1/2 этаж,53000000,1127660,2,47,1,2,"Бостандыкский р-н, Назарбаева 237а — Аль Фараби",Бостандыкский р-н,Алматы
1001705016,https://krisha.kz/a/show/1001705016,3-комнатная квартира · 99.5 м² · 6/10 этаж,50000000,502513,3,99.5,6,10,"Наурызбайский р-н, мкр Шугыла, Алтын Орда — Алатау Алтын орда",Наурызбайский р-н,Алматы
698516073,https://krisha.kz/a/show/698516073,2-комнатная квартира · 46 м² · 2/3 этаж,35000000,760870,2,46,2,3,"Ауэзовский р-н, мкр Достык — Яссауи",Ауэзовский р-н,Алматы
